,city,Area,education,remote,experience,fulltime,label,Target,labelTree
486,2,3,2,2,2,2,3,5,4
487,3,3,1,2,1,1,5,4,6
488,2,2,2,2,2,2,3,3,4
489,2,2,2,2,2,2,3,3,4
490,2,2,1,2,1,1,5,3,6
491,3,1,1,1,1,2,2,2,3
492,2,2,1,2,1,1,5,4,6
493,2,2,2,2,2,2,3,2,4
494,2,2,2,2,2,2,3,2,4
495,2,2,2,2,2,2,3,5,4
496,3,3,1,2,1,1,5,3,6
497,3,1,1,2,1,1,5,2,6
498,3,3,1,2,1,1,5,1,6
499,3,3,1,2,1,1,5,5,6
500,2,2,1,2,1,1,5,3,6
501,2,3,2,2,2,2,3,5,4
502,2,2,2,2,2,2,3,5,4
503,2,2,2,2,2,2,3,5,4
504,3,1,1,2,1,1,5,2,6
505,3,3,1,2,1,1,5,3,6
506,2,2,2,2,2,2,3,3,4
507,3,3,1,2,1,1,5,3,6
508,2,2,1,2,1,1,5,3,6
509,1,3,2,1,2,1,1,2,2
510,2,2,1,2,1,1,5,5,6
511,3,3,1,2,1,1,5,3,6
512,3,3,1,2,1,1,5,4,6
513,3,3,1,2,1,1,5,5,6
514,3,3,1,2,1,1,5,2,6
515,3,3,1,2,1,1,5,2,6
516,2,2,1,2,1,1,5,3,6
517,2,3,2,2,2,2,3,3,4
518,2,2,1,2,1,1,5,3,6
519,3,3,1,2,1,1,5,5,6
520,2,2,2,2,2,2,3,3,4
521,2,2,2,2,2,2,3,2,4
522,3,1,1,2,1,1,5,3,6
523,2,3,2,2,2,2,3,5,4
524,3,3,1,2,1,1,5,5,6
525,3,3,1,2,1,1,5,3,6
526,2,2,2,2,2,2,3,5,4
527,3,3,1,2,1,1,5,2,6
528,2,2,2,2,2,2,3,2,4
529,2,2,2,2,2,2,3,2,4
530,2,3,2,2,2,2,3,5,4
531,3,3,1,2,1,1,5,5,6
532,3,1,1,2,1,1,5,5,6
533,2,2,2,2,2,2,3,5,4
534,3,1,1,2,1,1,5,5,6
535,3,3,1,2,1,1,5,4,6
536,2,3,2,2,2,2,3,2,4
537,3,1,1,2,1,1,5,4,6
538,2,2,1,2,1,1,5,4,6
539,2,2,2,2,2,2,3,2,4
540,1,3,2,1,2,1,1,1,2
541,2,3,2,2,2,2,3,5,4
542,3,3,1,2,1,1,5,5,6
543,2,2,2,2,2,2,3,3,4
544,2,2,2,2,2,2,3,5,4
545,2,2,2,2,2,2,3,2,4
546,3,1,1,2,1,1,5,5,6
547,3,3,1,2,1,1,5,3,6
548,2,3,2,2,2,2,3,5,4
549,1,3,2,1,2,1,1,1,2
550,2,2,2,2,2,2,3,2,4
551,1,3,2,1,2,1,1,2,2
552,3,1,1,2,1,1,5,3,6
553,3,3,1,2,1,1,5,5,6
554,3,1,1,2,1,1,5,3,6
555,2,2,2,2,2,2,3,3,4
556,3,1,1,2,1,1,5,1,6
557,3,3,1,2,1,1,5,2,6
558,2,2,2,2,2,2,3,3,4
559,2,2,2,2,2,2,3,2,4
560,2,2,1,2,1,1,5,5,6
561,2,2,1,2,1,1,5,5,6
562,2,2,2,2,2,2,3,2,4
563,3,3,1,2,1,1,5,4,6
564,2,2,1,2,1,1,5,4,6
565,2,2,2,2,2,2,3,2,4
566,3,3,1,2,1,1,5,2,6
567,3,3,1,2,1,1,5,5,6
568,1,3,2,1,2,1,1,2,2
569,2,2,2,2,2,2,3,5,4
570,3,3,1,2,1,1,5,3,6
571,2,2,2,2,2,2,3,3,4
572,3,3,1,2,1,1,5,5,6
573,1,3,2,1,2,1,1,1,2
574,2,3,2,2,2,2,3,1,4
575,2,3,2,2,2,2,3,5,4
576,2,3,2,2,2,2,3,3,4
577,2,2,2,2,2,2,3,3,4
578,3,1,1,1,1,2,2,2,3
579,3,3,1,2,1,1,5,3,6
580,3,3,1,2,1,1,5,3,6
581,2,2,2,2,2,2,3,2,4
582,3,1,1,2,1,1,5,3,6
583,2,3,2,2,2,2,3,2,4
584,3,3,1,2,1,1,5,2,6
585,1,1,2,2,2,1,2,1,3
586,3,3,1,2,1,1,5,2,6
587,2,2,2,2,2,2,3,2,4
588,1,3,2,1,2,1,1,2,2
589,3,3,1,2,1,1,5,5,6
590,2,2,1,2,1,1,5,4,6
591,2,2,1,2,1,1,5,3,6
592,1,3,2,1,2,1,1,1,2
593,3,3,1,2,1,1,5,5,6
594,2,2,2,2,2,2,3,2,4
595,3,3,1,2,1,1,5,3,6
